Date,Index
Sep-78,39.1
Oct-78,39.5
Nov-78,39.6
Dec-78,39.7
Jan-79,40.1
Feb-79,40.2
Mar-79,40.3
Apr-79,40.4
May-79,40.5
Jun-79,40.7
Jul-79,40.9
Aug-79,41
Sep-79,41.5
Oct-79,41.7
Nov-79,42
Dec-79,42.1
Jan-80,42.4
Feb-80,42.7
Mar-80,43.1
Apr-80,43.3
May-80,43.5
Jun-80,43.8
Jul-80,44.1
Aug-80,44.5
Sep-80,44.7
Oct-80,45.3
Nov-80,45.9
Dec-80,46.1
Jan-81,46.9
Feb-81,47.3
Mar-81,47.9
Apr-81,48.2
May-81,48.9
Jun-81,49.7
Jul-81,50.2
Aug-81,50.9
Sep-81,51.5
Oct-81,52.5
Nov-81,52.8
Dec-81,53.3
Jan-82,53.9
Feb-82,54.5
Mar-82,55.4
Apr-82,55.6
May-82,56
Jun-82,56.2
Jul-82,56.8
Aug-82,57.4
Sep-82,58.1
Oct-82,59
Nov-82,59.1
Dec-82,59.5
Jan-83,59.6
Feb-83,59.7
Mar-83,60.3
Apr-83,60.4
May-83,60.4
Jun-83,60.6
Jul-83,60.9
Aug-83,61.3
Sep-83,61.5
Oct-83,61.9
Nov-83,61.9
Dec-83,62.1
Jan-84,62.5
Feb-84,62.7
Mar-84,62.7
Apr-84,62.9
May-84,63
Jun-84,63
Jul-84,63.2
Aug-84,63.3
Sep-84,63.6
Oct-84,64.1
Nov-84,64.4
Dec-84,64.5
Jan-85,64.8
Feb-85,65
Mar-85,65
Apr-85,65.3
May-85,65.4
Jun-85,65.5
Jul-85,65.5
Aug-85,65.8
Sep-85,65.9
Oct-85,66.3
Nov-85,66.4
Dec-85,66.6
Jan-86,66.8
Feb-86,67
Mar-86,67
Apr-86,67
May-86,67.1
Jun-86,67.1
Jul-86,67.2
Aug-86,67.5
Sep-86,67.6
Oct-86,68.3
Nov-86,68.5
Dec-86,68.8
Jan-87,69
Feb-87,69.3
Mar-87,69.6
Apr-87,69.9
May-87,70.1
Jun-87,70.3
Jul-87,70.5
Aug-87,70.8
Sep-87,71
Oct-87,71.7
Nov-87,72
Dec-87,72.1
Jan-88,72.5
Feb-88,72.5
Mar-88,72.8
Apr-88,73
May-88,73.2
Jun-88,73.4
Jul-88,73.5
Aug-88,74
Sep-88,74.3
Oct-88,75.1
Nov-88,75.3
Dec-88,75.5
Jan-89,76.1
Feb-89,76.4
Mar-89,76.8
Apr-89,77.3
May-89,77.6
Jun-89,77.9
Jul-89,78.2
Aug-89,78.6
Sep-89,78.7
Oct-89,79.6
Nov-89,79.9
Dec-89,80.1
Jan-90,80.9
Feb-90,81.3
Mar-90,81.5
Apr-90,81.9
May-90,82.2
Jun-90,82.2
Jul-90,82.2
Aug-90,82.5
Sep-90,82.8
Oct-90,83.8
Nov-90,84.2
Dec-90,84.3
Jan-91,85.8
Feb-91,85.8
Mar-91,85.6
Apr-91,85.7
May-91,85.8
Jun-91,86
Jul-91,86.3
Aug-91,86.5
Sep-91,86.5
Oct-91,87.2
Nov-91,87.2
Dec-91,87.2
Jan-92,87.6
Feb-92,87.6
Mar-92,87.5
Apr-92,87.4
May-92,87.6
Jun-92,87.5
Jul-92,87.7
Aug-92,87.9
Sep-92,87.7
Oct-92,88.4
Nov-92,88.6
Dec-92,88.7
Jan-93,88.9
Feb-93,88.9
Mar-93,88.9
Apr-93,89
May-93,88.9
Jun-93,88.9
Jul-93,88.9
Aug-93,89
Sep-93,89
Oct-93,89.4
Nov-93,89.5
Dec-93,89.6
Jan-94,89.5
Feb-94,89.5
Mar-94,89.4
Apr-94,88.9
May-94,89
Jun-94,89.2
Jul-94,89.2
Aug-94,89.4
Sep-94,89.4
Oct-94,89.7
Nov-94,89.8
Dec-94,90.1
Jan-95,90.2
Feb-95,90.2
Mar-95,90.3
Apr-95,90.1
May-95,90.3
Jun-95,90.5
Jul-95,90.5
Aug-95,90.5
Sep-95,90.5
Oct-95,90.4
Nov-95,90.6
Dec-95,90.6
Jan-96,90.6
Feb-96,90.6
Mar-96,90.6
Apr-96,90.5
May-96,90.6
Jun-96,90.4
Jul-96,90.5
Aug-96,90.3
Sep-96,90.5
Oct-96,90.9
Nov-96,90.6
Dec-96,90.8
Jan-97,90.9
Feb-97,90.9
Mar-97,90.9
Apr-97,90.9
May-97,90.7
Jun-97,90.8
Jul-97,90.8
Aug-97,90.6
Sep-97,90.6
Oct-97,90.7
Nov-97,90.7
Dec-97,90.8
Jan-98,90.8
Feb-98,90.7
Mar-98,90.8
Apr-98,90.9
May-98,91
Jun-98,90.9
Jul-98,91
Aug-98,91.1
Sep-98,91
Oct-98,91.6
Nov-98,91.5
Dec-98,91.8
Jan-99,91.8
Feb-99,91.8
Mar-99,91.8
Apr-99,92
May-99,91.9
Jun-99,92
Jul-99,92.1
Aug-99,92.3
Sep-99,92.8
Oct-99,92.9
Nov-99,93.1
Dec-99,93.4
Jan-00,93.7
Feb-00,94.4
Mar-00,94.5
Apr-00,94.5
May-00,94.7
Jun-00,95
Jul-00,95.5
Aug-00,95.7
Sep-00,96.3
Oct-00,97.2
Nov-00,97.7
Dec-00,98.1
Jan-01,97.5
Feb-01,97.3
Mar-01,98.4
Apr-01,98.9
May-01,100
Jun-01,100.3
Jul-01,99.9
Aug-01,99.9
Sep-01,99.6
Oct-01,99.8
Nov-01,98.4
Dec-01,98.9
Jan-02,99.3
Feb-02,99.4
Mar-02,99.4
Apr-02,99.1
May-02,99.4
Jun-02,99.3
Jul-02,99.5
Aug-02,100.3
Sep-02,100.7
Oct-02,101.7
Nov-02,101.7
Dec-02,100.1
Jan-03,102.1
Feb-03,102.5
Mar-03,103.2
Apr-03,102.3
May-03,102.9
Jun-03,103.4
Jul-03,103.3
Aug-03,103.4
Sep-03,103.6
Oct-03,103.8
Nov-03,104
Dec-03,104.4
Jan-04,104.3
Feb-04,104.5
Mar-04,104.6
Apr-04,105.1
May-04,105.3
Jun-04,105.7
Jul-04,106
Aug-04,106.2
Sep-04,106.5
Oct-04,107
Nov-04,107.4
Dec-04,107.4
Jan-05,107.5
Feb-05,107.7
Mar-05,108.1
Apr-05,108.4
May-05,108.6
Jun-05,108.8
Jul-05,109.4
Aug-05,109.3
Sep-05,110
Oct-05,110.7
Nov-05,110.8
Dec-05,110.5
Jan-06,111.8
Feb-06,111.7
Mar-06,111.9
Apr-06,112.2
May-06,113
Jun-06,112.8
Jul-06,113.2
Aug-06,113.5
Sep-06,114
Oct-06,114.1
Nov-06,114.1
Dec-06,114.6
Jan-07,114.8
Feb-07,114.9
Mar-07,115.4
Apr-07,116.2
May-07,116
Jun-07,116.8
Jul-07,117
Aug-07,117.6
Sep-07,117.8
Oct-07,118.7
Nov-07,118.8
Dec-07,119.2
Jan-08,119.2
Feb-08,119.6
Mar-08,120.1
Apr-08,121.2
May-08,121.6
Jun-08,122.3
Jul-08,123.3
Aug-08,123.8
Sep-08,123.1
Oct-08,123.2
Nov-08,123.4
Dec-08,123.4
Jan-09,123.1
Feb-09,123.2
Mar-09,122.6
Apr-09,121.4
May-09,121.4
Jun-09,121.3
Jul-09,120.8
Aug-09,121.1
Sep-09,120.9
Oct-09,121.2
Nov-09,121.3
Dec-09,121.3
Jan-10,121.8
Feb-10,121.8
Mar-10,121.7
Apr-10,122.4
May-10,123
Jun-10,123.3
Jul-10,124.3
Aug-10,124
Sep-10,123.9
Oct-10,124.6
Nov-10,124.4
Dec-10,124.6
Jan-11,124.5
Feb-11,124.5
Mar-11,124.6
Apr-11,125.2
May-11,125.2
Jun-11,125.4
Jul-11,125.9
Aug-11,126.2
Sep-11,125.7
Oct-11,126.5
Nov-11,126.3
Dec-11,126.8
Jan-12,127.1
Feb-12,126.9
Mar-12,126.6
Apr-12,126.6
May-12,126.7
Jun-12,127
Jul-12,127.2
Aug-12,127.4
Sep-12,127.2
Oct-12,127.6
Nov-12,127.5
Dec-12,127.5
Jan-13,127.8
Feb-13,127.9
Mar-13,128
Apr-13,128.2
May-13,128.3
Jun-13,128.5
Jul-13,128.8
Aug-13,128.8
Sep-13,129
Oct-13,129.2
Nov-13,129.8
Dec-13,129.9
Jan-14,130.5
Feb-14,130.7
Mar-14,131.4
Apr-14,132.4
May-14,132.6
Jun-14,132.2
Jul-14,132.6
Aug-14,132.4
Sep-14,132.5
Oct-14,132.8
Nov-14,132.8
Dec-14,133
Jan-15,133.1
Feb-15,133.1
Mar-15,133.3
Apr-15,133.1
May-15,133.2
Jun-15,133.5
Jul-15,133.8
Aug-15,133.9
Sep-15,133.9
Oct-15,134.3
Nov-15,134.4
Dec-15,134.5
Jan-16,134.6
Feb-16,134.7
Mar-16,134.8
Apr-16,134.9
May-16,135.1
Jun-16,135.6
Jul-16,136
Aug-16,136.2
Sep-16,136.2
Oct-16,136.9
Nov-16,137.2
Dec-16,137.3
Jan-17,137.8
Feb-17,137.6
Mar-17,137.7
Apr-17,137.9
May-17,137.7
Jun-17,137.8
Jul-17,137.7
Aug-17,138
Sep-17,138.1
Oct-17,138.6
Nov-17,138.9
Dec-17,139.2
Jan-18,139.7
Feb-18,140
Mar-18,140
Apr-18,140.3
May-18,140.4
Jun-18,140.5
Jul-18,141
Aug-18,141.2
Sep-18,141.5
Oct-18,142
Nov-18,142.3
Dec-18,142.3
Jan-19,143
Feb-19,143.4
Mar-19,143.8
Apr-19,144.1
May-19,144.2
Jun-19,144
Jul-19,144.3
Aug-19,144.6
Sep-19,144.8
Oct-19,145.7
Nov-19,145.9
Dec-19,146.3
Jan-20,146.4
Feb-20,146.7
Mar-20,146.5
Apr-20,146
May-20,145.6
Jun-20,146.4
Jul-20,146.4
Aug-20,146.8
Sep-20,147.3
Oct-20,148.3
Nov-20,148.7
Dec-20,148.7
Jan-21,148.4
Feb-21,148.8
Mar-21,150
Apr-21,150.7
May-21,151.7
Jun-21,152.8
Jul-21,153.5
Aug-21,153.9
Sep-21,154.4
Oct-21,155.4
Nov-21,155.9
Dec-21,156.8
Jan-22,157.6
Feb-22,158.6
Mar-22,160.2
Apr-22,161.9
May-22,163
Jun-22,163.6
Jul-22,164.2
Aug-22,164.1
Sep-22,164.9
Oct-22,166.2
Nov-22,167.2
Dec-22,167.8
Jan-23,168
Feb-23,168.3
Mar-23,168.9
Apr-23,169.9
May-23,170.6
Jun-23,171.4
Jul-23,172.6
Aug-23,174
Sep-23,174.8
Oct-23,176.3
Nov-23,177.1
Dec-23,177.8
Jan-24,178.4
Feb-24,179.2
Mar-24,179.9
Apr-24,180.8
May-24,181.5
Jun-24,182.1
Jul-24,182.5
Aug-24,183.3
Sep-24,183.5
Oct-24,184.8
Nov-24,185.3
Dec-24,185.8
Jan-25,186.4
Feb-25,186.7
Mar-25,187
Apr-25,186.9
May-25,186.9
Jun-25,187.3
Jul-25,187.9
Aug-25,188
Sep-25,188.2